Community Economic Wellbeing,Employment,Wages,GDP,Establishments,Employment,Wages,GDP,Establishments,Employment,Wages,GDP,Establishments,Employment,Wages,GDP,Establishments
,Number of Establishments,Number of Employees,US Dollars,US Dollars,Number of Establishments,Number of Employees,US Dollars,US Dollars,Number of Establishments,Number of Employees,US Dollars,US Dollars,Number of Establishments,Number of Employees,US Dollars,US Dollars
Gulf of Mexico/America,Gulf of Mexico/America Marine Construction,Gulf of Mexico/America Marine Construction,Gulf of Mexico/America Marine Construction,Gulf of Mexico/America Marine Construction,Gulf of Mexico/America Ship and Boat Building,Gulf of Mexico/America Ship and Boat Building,Gulf of Mexico/America Ship and Boat Building,Gulf of Mexico/America Ship and Boat Building,Gulf of Mexico/America Tourism and Recreation,Gulf of Mexico/America Tourism and Recreation,Gulf of Mexico/America Tourism and Recreation,Gulf of Mexico/America Tourism and Recreation,Gulf of Mexico/America Total Ocean Economy,Gulf of Mexico/America Total Ocean Economy,Gulf of Mexico/America Total Ocean Economy,Gulf of Mexico/America Total Ocean Economy
year,establishments,employment,wages,gdp,,,,,,,,,,,,
2005,754,16565,688894092,1470053217,586,45345,1853184232,2927680923,16217,297479,4964592353,9616099607,23613,561434,23265612216,95051609086
2006,792,19073,899361789,1842697119,611,48393,2097672256,2881963344,14801,267231,4613672468,10058741919,22427,547677,25411089272,1.08288E+11
2007,834,18633,990562721,2029027943,641,52020,2453866419,3984765649,18225,335613,6284114859,10513161563,26071,628945,30151283649,1.25715E+11
2008,769,18879,1097548003,2036661840,669,52789,2619597487,4409956314,16051,276516,4997525663,10375967256,24845,593825,31394743922,1.50822E+11
2009,726,17283,988509166,1848144773,652,43482,2209701618,3715463231,17372,285699,5123467445,10389525236,25212,560208,29127204555,1.0837E+11
2010,727,17208,991658329,1876023526,621,40226,2093061432,3756884593,16955,271448,4945836028,11023481946,24893,536975,28607555949,1.10015E+11
2011,722,16546,1017058824,1895996008,555,37455,2085476224,3209341336,17273,284575,5277572533,11637872623,25049,552098,31359224536,1.24481E+11
2012,750,16984.833,1026888072,1820465935,567,40408.25,2286847174,3733126655,17267,298558.417,5652543381,12192414230,25185,581349.75,33954922073,1.31172E+11
2013,762,17419.333,1008421696,1770323792,566,41464.25,2366897576,4219447110,17303,309588.417,5955544203,12649675294,25306,606460.333,35925998175,1.51651E+11
2014,699,15781,994936628,1777888223,557,42289,2494233340,4260618471,16707,317502,6290880282,13217004502,24539,602742,36570640477,1.56164E+11
2015,736,15669.833,1048208833,1827342518,525,41278.083,2407593531,4277199018,16702,328329.667,6765172960,14481429335,24508,600503.583,35637073784,1.06862E+11
2016,873,16266.25,1061446208,1909315842,622,39768.167,2329248977,4181661444,18188,398536,9047719991,15192142096,27142,676495.333,36616141306,93221325896
2017,735,18204.833,1212709316,2195066722,570,35490.333,2153458825,4209089568,15925,342095.25,7318129426,15788122214,23649,575898.833,30461265827,1.04172E+11
2018,721,19177,1307896700,2285279331,563,34558.5,2166417052,4155481103,16841,353298.083,7898579702,16221752883,24567,591752.333,32083246215,1.18372E+11
2019,790,21104.417,1477726480,2569990871,561,33214.583,2112100132,4129021017,17295,362134.833,8445087561,17460444311,25048,616523.583,34293718529,1.13294E+11
2020,827,19130.417,1432144696,2504055364,573,34037.667,2160103409,3389717924,17445,304365.083,7226072177,14206202074,25113,543794.167,31599464800,72615459879
2021,838,18821.5,1471732876,2489923726,588,35454.417,2289333084,4280155980,17868,332623.167,9090687547,19235869934,25699,584813,32032670400,1.33351E+11
